curr 0B,curr 1Y,curr 2G,curr 3W,Time,Trial Number,,,,
1.02,8.07,8.01,7.47,voltageMeasure,-1,,,,
0,5004,708,830,24684,0,2180.666667,,,
0,5004,708,830,24721,0,2180.666667,,,
0,5004,708,830,24760,0,2180.666667,,,
0,5004,708,826,24798,0,2179.333333,,,
0,4954,708,826,24837,0,2162.666667,,,
0,4954,708,826,24876,0,2162.666667,,,
0,4954,708,826,24914,0,2162.666667,,,
0,5194,708,826,24953,0,2242.666667,,,
0,5194,708,826,24991,0,2242.666667,,,
0,5194,718,832,25030,0,2248,,,
0,692,718,832,25066,0,747.3333333,,,
0,692,718,832,25104,0,747.3333333,,,
0,692,718,832,25142,0,747.3333333,,,
0,692,720,832,25179,0,748,,,
0,698,720,832,25217,0,750,,,
0,698,720,832,25254,0,750,,,
0,698,698,806,25292,0,734,,,
0,698,698,806,25329,0,734,,,
0,698,698,806,25367,0,734,,,
0,698,4282,5092,25405,0,3357.333333,,,
0,472,4282,5092,25445,0,3282,,,
0,472,4282,5092,25485,0,3282,,,
0,472,4282,5092,25524,0,3282,,,
0,472,4578,4748,25564,0,3266,,,
0,410,4578,4748,25603,0,3245.333333,,,
0,410,4578,4748,25643,0,3245.333333,,,
0,410,4702,4718,25683,0,3276.666667,,,
0,390,4702,4718,25722,0,3270,,,
0,390,4702,4718,25762,0,3270,,,
0,390,4660,3336,25801,0,2795.333333,,,
0,400,4660,3336,25841,0,2798.666667,,,
0,400,4660,3336,25881,0,2798.666667,,,
0,400,4582,796,25918,0,1926,,,
0,374,4582,796,25957,0,1917.333333,,,
0,374,4582,796,25995,0,1917.333333,,,
0,374,4834,796,26034,0,2001.333333,,,
0,374,4834,810,26072,0,2006,,,
0,2966,4834,810,26112,0,2870,,,
0,2966,4834,810,26152,0,2870,,,
0,2966,648,810,26190,0,1474.666667,,,
0,4650,648,810,26229,0,2036,,,
0,4650,648,810,26267,0,2036,,,
0,4650,658,810,26306,0,2039.333333,,,
0,4716,658,810,26344,0,2061.333333,,,
0,4716,658,810,26382,0,2061.333333,,,
0,4716,658,810,26421,0,2061.333333,,,
0,4732,658,812,26459,0,2067.333333,,,
0,4732,658,812,26498,0,2067.333333,,,
0,4732,658,812,26536,0,2067.333333,,,
0,4732,662,810,26575,0,2068,,,
0,4640,662,810,26614,0,2037.333333,,,
0,4640,662,810,26652,0,2037.333333,,,
0,4640,662,810,26691,0,2037.333333,,,
0,4768,662,810,26728,0,2080,,,
0,4768,662,810,26767,0,2080,,,
0,4768,662,760,26806,0,2063.333333,,,
0,984,662,760,26843,0,802,,,
0,984,662,760,26881,0,802,,,
0,984,672,760,26918,0,805.3333333,,,
0,984,672,5098,26957,0,2251.333333,,,
0,774,672,5098,26995,0,2181.333333,,,
0,774,672,5098,27034,0,2181.333333,,,
0,774,662,4934,27073,0,2123.333333,,,
0,764,662,4934,27110,0,2120,,,
0,764,662,4934,27149,0,2120,,,
0,764,4328,4908,27188,0,3333.333333,,,
0,524,4328,4908,27228,0,3253.333333,,,
0,524,4328,4908,27267,0,3253.333333,,,
0,524,4156,4908,27307,0,3196,,,
0,524,4156,4896,27347,0,3192,,,
0,452,4156,4896,27386,0,3168,,,
0,452,4332,4896,27426,0,3226.666667,,,
0,452,4332,4656,27465,0,3146.666667,,,
0,466,4332,4656,27505,0,3151.333333,,,
0,466,4332,4656,27545,0,3151.333333,,,
0,466,4428,720,27582,0,1871.333333,,,
0,468,4428,720,27621,0,1872,,,
0,468,4428,720,27659,0,1872,,,
0,468,3810,744,27698,0,1674,,,
0,472,3810,744,27736,0,1675.333333,,,
0,472,3810,744,27775,0,1675.333333,,,
0,472,770,744,27813,0,662,,,
0,472,770,748,27850,0,663.3333333,,,
0,2166,770,748,27889,0,1228,,,
0,2166,754,748,27927,0,1222.666667,,,
0,2166,754,748,27965,0,1222.666667,,,
0,4890,754,748,28004,0,2130.666667,,,
0,4890,754,748,28042,0,2130.666667,,,
0,4890,744,748,28081,0,2127.333333,,,
0,4928,744,748,28119,0,2140,,,
0,4928,744,748,28158,0,2140,,,
0,4928,748,748,28196,0,2141.333333,,,
0,4928,748,748,28235,0,2141.333333,,,
0,4978,748,748,28274,0,2158,,,
0,4978,750,748,28312,0,2158.666667,,,
0,4978,750,748,28350,0,2158.666667,,,
0,534,750,748,28387,0,677.3333333,,,
0,534,750,748,28425,0,677.3333333,,,
0,534,766,712,28462,0,670.6666667,,,
0,678,766,712,28500,0,718.6666667,,,
0,678,766,712,28538,0,718.6666667,,,
0,678,770,712,28575,0,720,,,
0,678,770,5286,28614,0,2244.666667,,,
0,678,770,5286,28652,0,2244.666667,,,
0,678,748,5286,28690,0,2237.333333,,,
0,678,748,4980,28728,0,2135.333333,,,
0,648,748,4980,28767,0,2125.333333,,,
0,648,748,4980,28806,0,2125.333333,,,
0,648,4502,4974,28845,0,3374.666667,,,
0,432,4502,4974,28885,0,3302.666667,,,
0,432,4502,4974,28924,0,3302.666667,,,
0,432,4666,4974,28964,0,3357.333333,,,
0,432,4666,4948,29004,0,3348.666667,,,
0,430,4666,4948,29043,0,3348,,,
0,430,4712,4948,29083,0,3363.333333,,,
0,430,4712,4938,29122,0,3360,,,
0,426,4712,4938,29161,0,3358.666667,,,
0,426,4614,4938,29200,0,3326,,,
0,426,4614,5236,29240,0,3425.333333,,,
